Year,Month,Incident,Victims,City,Prime minister
2017,aug,harnai balochistan,8,harnai,Mr. Shahid Khaqan Abbasi
2017,aug,lahore bombing,2,lahore,Mr. Shahid Khaqan Abbasi
2017,aug,quetta suicide bombing ,15,quetta,Mr. Shahid Khaqan Abbasi
2017,aug,sehwan sucide bombing,90,sehwan,Mr. Shahid Khaqan Abbasi
2017,oct,malawat poisoning ,17,malawat,Mr. Shahid Khaqan Abbasi
2017,oct,jhal magsi sucide bombing,20,jhal magsi,Mr. Shahid Khaqan Abbasi
2017,nov,Peshawar police vehicle attack,2,Peshawar,Mr. Shahid Khaqan Abbasi
2017,dec,peshawar Agriculture Directorate attack,13,peshawar,Mr. Shahid Khaqan Abbasi
2017,dec,quetta church attack,9,quetta,Mr. Shahid Khaqan Abbasi
2018,jan,zainab murder case,1,qasoor,Mr. Shahid Khaqan Abbasi
2018,jan,maqeebullah,4,maqeebullah,Mr. Shahid Khaqan Abbasi
2018,jul,kulachi kpk,3,kulachi,Justice (Retd) Nasir-ul-Mulk (Caretaker)
2018,jul,mastung and bannu,154,mastung,Justice (Retd) Nasir-ul-Mulk (Caretaker)
2018,jul,pakistan general elections violence,31,pakistan,Justice (Retd) Nasir-ul-Mulk (Caretaker)
2018,jul,peshawar sucide bombing,22,peshawar,Justice (Retd) Nasir-ul-Mulk (Caretaker)
2018,jul,quetta sucide bombing,31,quetta,Justice (Retd) Nasir-ul-Mulk (Caretaker)
2018,nov,karachi ,4,karachi,Justice (Retd) Nasir-ul-Mulk (Caretaker)
2018,nov,orakzai bombing,33,orakzai,Mr. Imran Khan
2019,jan,loralai attack,9,loralai,Mr. Imran Khan
2019,feb,balochistan attacks,6,balochistan,Mr. Imran Khan
2019,apr,makran massacre,9,makran,Mr. Imran Khan
2019,apr,quetta bombing,21,quetta,Mr. Imran Khan
2019,may,lahore bombing,13,lahore,Mr. Imran Khan
2019,may,pearl continental hotel balochistan,8,balochistan,Mr. Imran Khan
2019,sep,mamrita chandani,1,ghotki ,Mr. Imran Khan
2020,jan,quetta bombing,15,quetta,Mr. Imran Khan
2020,feb,quetta bombing,10,quetta,Mr. Imran Khan
2020,jun,pakistan stock exchange,4,karachi,Mr. Imran Khan
2020,aug,hayat baloch,1,turbat,
2021,jan,machh attack,11,machh,Mr. Imran Khan
2021,jan,usman nadeem satti,1,islamabad,Mr. Imran Khan
2021,feb,ippi shooting,4,KPK,Mr. Imran Khan
2021,mar,chaman bombing balochistan,10,chaman,Mr. Imran Khan
2021,mar,janikhel kpk,4,janikhel,
2021,apr,quetta serena hotel,5,quetta,Mr. Imran Khan
2021,jun,lahore bombing,3,lahore,Mr. Imran Khan
2021,jul,Murder of Noor Mukadam,1,islamabad,Mr. Imran Khan
2021,aug,balochistan attacks,4,balochistan,Mr. Imran Khan
2021,aug,quetta bombing,2,quetta,Mr. Imran Khan
